ID,footballdata,understat,elo,label
FCB,Bayern Munich,Bayern Munich,Bayern,FC Bayern München
HSV,Hamburg,Hamburger SV,Hamburg,Hamburger SV
B04,Leverkusen,Bayer Leverkusen,Leverkusen,Bayer 04 Leverkusen
TSG,Hoffenheim,Hoffenheim,Hoffenheim,TSG Hoffenheim
FCA,Augsburg,Augsburg,Augsburg,FC Augsburg
BSC,Hertha,Hertha Berlin,Hertha,Hertha BSC Berlin
SVW,Werder Bremen,Werder Bremen,Werder,Werder Bremen
S04,Schalke 04,Schalke 04,Schalke,FC Schalke 04
M05,Mainz,Mainz 05,Mainz,FSV Mainz 05
H96,Hannover,Hannover 96,Hannover,Hannover 96
BVB,Dortmund,Borussia Dortmund,Dortmund,Borussia Dortmund
BMG,M'gladbach,Borussia M.Gladbach,Gladbach,Borussia Mönchengladbach
WOB,Wolfsburg,Wolfsburg,Wolfsburg,VfL Wolfsburg
SGE,Ein Frankfurt,Eintracht Frankfurt,Frankfurt,Eintracht Frankufrt
VFB,Stuttgart,VfB Stuttgart,Stuttgart,VfB Stuttgart
KOE,FC Koln,FC Cologne,Koeln,1. FC Köln
SCF,Freiburg,Freiburg,Freiburg,SC Freiburg
RBL,RB Leipzig,RasenBallsport Leipzig,RB Leipzig,RB Leipzig
F95,Fortuna Dusseldorf,Fortuna Duesseldorf,Duesseldorf,Fortuna Düsseldorf
FCN,Nurnberg,Nuernberg,Nuernberg,FC Nürnberg
SCP,Paderborn,Paderborn,Paderborn,SC Paderborn
FCU,Union Berlin,Union Berlin,Union Berlin,FC Union Berlin
DSC,Bielefeld,Arminia Bielefeld,Bielefeld,Arminia Bielefeld
SGF,Greuther Furth,Greuther Fuerth,Fuerth,SpVgg Greuther Fürth
BOC,Bochum,Bochum,Bochum,VfL Bochum
D98,Darmstadt,Darmstadt,Darmstadt,Darmstadt 98
FCI,Ingolstadt,,Ingolstadt,FC Ingolstadt
FCK,Kaiserslautern,,,FC Kaiserslautern
EBS,Braunschweig,,,Eintracht Braunschweig
ENE,Cottbus,,,Energie Cottbus
KSC,Karlsruhe,,,Karlsruher SC
HAN,Hansa Rostock,,,FC Hansa Rostock
ALE,Aachen,,,Allemania Aachen
MSV,Duisburg,,,MSV Duisburg
FCH,Heidenheim,FC Heidenheim,,FC Heidenheim
KSV,Holstein Kiel,Holstein Kiel,,Holstein Kiel
FCSP,St Pauli,St. Pauli,,FC St. Pauli
